munkaleiras,link
"Under close supervision, following mandated food handling techniques, sanitary requirements and safety requirements, provides appetizing meals and other related food services to patients, hospital employees, guests, cafeteria patrons and other authorized visitors.
Primary Job Duties:

Clean and sanitize pots and pans
Sweep and mop floors
Put away stock
Clean food service equipment
Trash removal
Minimum Qualifications:

Ability to read, write and compute simple math problems; also understand oral instructions and be able to communicate job related problems.
 """,https://www.indeed.com/viewjob?jk=e55b7917478dd4ec
"Art Van Furniture, the Midwest’s largest independent Furniture and Mattress retailer is seeking Customer Service Representatives to join our rapidly expanding and highly successful team.

Customer Service Representatives provide customer service and clerical support for the stores. Assist guests in resolving their questions, concerns and issues on purchases.

Responsibilities:
Assist guests telephoning or coming in to the store in resolving their questions, concerns and issues on purchases.

Answer incoming telephone calls; direct callers to the appropriate person.

Process guest invoices and payments on purchases

Balance cash drawer daily at the end of shift.

Contact guests regarding: Merchandise availability, scheduling delivery or customer pick-up

Required Skills

Requirements:
High School Diploma or equivalent.

A minimum of one (1) year of customer service or related retail sales experience.

Skills & Abilities:
Ability to effectively communicate verbally and in writing

Strong customer orientation with excellent interpersonal communication skills & good listening skills

Exhibits a calm and professional demeanor in resolving difficult situations with guests

Demonstrated ability to handle multiple tasks simultaneously

Veterans are encouraged to apply.

Required Experience",https://www.indeed.com/viewjob?jk=2dbce4b757d98963
"The bartender's primary responsibility is to provide friendly, courteous beverage service and preparation in accordance with standard procedures. Serving alcoholic and non-alcoholic beverages to casino guests.


Takes orders from customers and Waiter/Waitress.
Mix ingredients such as liquor, soda, water, sugar, and bitters to prepare cocktails and other drinks.
All transactions need to be documented on our point of sale software, Infogenisis.
Bartenders are responsible for stocking product and maintaining a clean sanitary workstation.
Performs all other duties as assigned.


Requirements:


Minimum of two years bartending experience in a high volume full service restaurant, club or hotel.
High school diploma or equivalent is required.
T.I.P.S. certification and Sanitation certification is preferred.
Incumbent must posses’ basic mathematical skills specific to job responsibilities.",https://www.indeed.com/viewjob?jk=6e50cace3303de8f
"Are you interested in working from the comfort of your own home? Do you have excellent customer service skills? If so, we are currently looking for residents within the state of Michigan (MI) to join our team of remote customer service agents!

Perks:
Pay is hourly based on location; paychecks are paid bi-weekly

Wage is $9.25

Wage is non-negotiable

Save on transportation costs! Work and train from home

No outbound calling or commission requirements

No need to use your own personal computer! We will provide a thin client with preloaded programs, dial pad, headset, keyboard, and mouse. All listed equipment is shipped directly to your home!

Connect with your team of co-workers and our valued customers

Enjoy our Employee Incentive program on Day 1 of taking live calls!

Since 2006, our at-home customer service agents have been assisting customers with camping & activity reservations, as well as hunting & fishing licensing needs across North America.

Requirements:
A quiet, distraction-free work environment

Standard landline phone or a cable/digital phone provider that our systems support; cell phones or satellite phones cannot be used with our system

High-Speed internet connection with the ability to connect directly to the modem via Ethernet cable (no wireless connections)

You must provide your own standard desktop monitor (no all-in-one computers, tablets, laptops or TV’s can be used monitors).

Job duties include:
Provide over-the-phone assistance for client requests, questions, and light troubleshooting.

Accessing company programs within company databases to meet customer requests.

Communicate effectively while referencing Company scripted material, policies, guidelines, and procedures.

Maintain productivity goals and quality assurance standards.

Maintain an excellent attendance record.

Attend all mandated virtual training sessions, including any ongoing training and development plans.

Aspira TM provides connected experiences for the outdoor recreation industry. Our comprehensive suite of reservation and licensing technology and service solutions support federal, state, provincial, and local government park, campground, and conservation agencies, conveniently connecting them with outdoor adventure seekers from around the world. Aspira is headquartered in Dallas, TX with nine offices worldwide. For more information, please visit AspiraConnect.com .

Aspira TM is an equal opportunity/affirmative action employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.",https://www.indeed.com/viewjob?jk=9fe262600976fc3d
"Overview
 You acknowledge and understand that this position is for a potential employment opportunity at a 7-Eleven convenience store operated by an independent contractor franchisee of 7-Eleven, Inc., and is not for a potential employment opportunity at 7-Eleven, Inc. The information you provide will be provided directly to the franchisee. You must communicate directly with the franchisee who will conduct the entire hiring process. The franchisee is solely responsible for all hiring decisions and other employment matters and may contact you to request additional information or conduct an interview. 7-Eleven Franchisees are Independent Contractors who are solely responsible to control the manner and means of the day to day operation of their stores. As such, each Franchisee solely controls all aspects of his or her employment practices.
Responsibilities
Franchisees typically rely on Sales Associates to provide outstanding service, maintain a clean, customer friendly environment, stock and merchandise products, and operate the register. Franchisees expect store employees to demonstrate reliability, honesty, and greet customers with a smile.

What might you do?
Provide prompt, efficient and courteous customer service
Drive sales through effective communication with customers
Maintain a clean, customer friendly environment in your franchisee’s store
Ring sales and maintain cash control
Perform all regular cleaning activities, and other tasks included in your job assignments
Forecast, order and stock merchandise (with appropriate training)
Check in merchandise deliveries from vendors
Qualifications
Physical Requirements

While physical requirements for store employees may change depending on your franchisee, the position typically requires constant standing, bending, reaching, frequent lifting of 1-5 lbs, and occasional lifting of up to 40 -50 lbs.",https://www.indeed.com/viewjob?jk=79331c3a53b480a4
"Technology Consultants provide first-line computer software and networking support to students, faculty, and staff using both Macs and Windows at the CIT Help Desk in the Academic Commons.


Responsibilities

Technology Consultants serve as a liaison between clients, including students, faculty and staff, and professional CIT staff members, reporting directly to the Help Desk Coordinator. They provide first-level software and networking support to the Oberlin College community. Issues may involve support for Macintosh and Windows operating systems, Microsoft Office, web browsers, OCApps, printing, and network connections. Technology Consultants are responsible for entering all calls, email messages, and walk-in issues into FootPrints work order tracking system, escalating issues to professional staff as necessary.


Qualifications

Technical knowledge. Technology Consultants will be responsible for installing and supporting networking software for both Macintosh and Windows computers. The more experience you have in these areas, the better.


Responsibility. Technology Consultants will be the CIT’s first contact with our clients. We’re looking for people with good time management skills, who can serve as a contact point for a large number of users, perform well in an autonomous position, and maintain good records.


Communication skills. All the technical knowledge in the universe is pretty useless if you can’t communicate in a supportive manner to a confused, inexperienced user.


A desire to learn. We’ve found that the people who are most helpful to users have a natural curiosity about the computers they work with.


Quick Link for Posting

http://jobs.oberlin.edu/postings/509


Compensation

Jobs with the CIT Help Desk begin at $8.60 an hour and are increased with each semester worked as well as based on merit.


Special Instructions to Applicants


Documents Needed to Apply
Required Documents
Optional Documents
Cover Letter
Resume",https://www.indeed.com/viewjob?jk=565e539d4b3c7faa
"Responsibilities
ESSENTIAL FUNCTIONS AND DUTIES:

• Scrapes and pre-rinses food from dirty dishes and places them in dishwashing machine.

• Washes pots, pans and trays by hand and/or machine.

• Removes trash and garbage to dumpster area.

• Washes work area tables, walls, refrigerator equipment, cooking equipment and floors.

• Cleans garbage cans and trash receptacles.

• Assembles, maintains and breaks down dish machine.

• Completes assigned daily and weekly cleaning projects.

• Assists in transporting bus tubs and dirty dishes to the dish room.


Required Skills and Experience
QUALIFICATION STANDARDS:

• Transports cases up to 50 pounds up to 20 times per day.

• Ability to place plates, utensils, pans and cases on both high and low shelves.

• Works indoors (90%), outdoors (10%)

• Works frequently in a hot and damp environment.

• Able to respond in emergency situations to avoid imminent dangers to self and others.

• Subject to wet floors, temperature extremes, and loud noise.

• Must be able to bend, stoop, lift, and carry dish racks weighing up to 40 pounds on a regular and continuing basis.

• Must be able to stand for long periods of time up to four (4) hours in length and move from area to area in the kitchen.

• Must be able to climb stairs throughout a shift",https://www.indeed.com/viewjob?jk=9ae6b40349a44fb3
"Part Time Retail Inventory Associate - Dist 001 - Troy, Madison Heights, Royal Oak, Novi, MI
(

Job Number:
PRE00723
)


District Starting Wage - $10.00/hour


Here at RGIS you count! Businesses make critical decisions based on their inventories and rely on RGIS to ensure that they are done accurately and professionally. As a part of the RGIS Team, you’re an important part of the decision making process. By contributing to reliable inventory counts, you help our customers make better decisions to support the needs of their customers!


Your day-to-day:

Counting is a very active job - you’ll be bending, kneeling and climbing ladders; so you’re either on your feet or knees the entire inventory.
When counting, you can use a finger scanner to scan each item’s barcode, which sends the information to a portable device at your waist, or use the device itself as a handheld scanner instead. Be prepared to do repetitive actions.
Accuracy is everything! You have an eagle eye for detail and pride yourself in making sure everything is correct.
Efficiency is everything! I know, I know…we just said accuracy is everything but speed and accuracy go hand in hand when you’re a Retail Inventory Associate.
Location, location, location. You will never get bored with going to the same location over and over again. From a grocery or dollar variety retail store around the corner to a warehouse a couple hours away, you’ll likely be at a new place just about every time you’re scheduled to work.
Starting on time is critical to a successful inventory so we are looking for reliable people that can get to the inventories on time and as scheduled.
Safety first! At RGIS it is in our DNA and we are committed to providing associates safe work environments along the way, at every location, and on the way back.
We provide you with an RGIS shirt, as well as guidelines on clothing and proper footwear that you’re required to wear. Think of it as showing pride for your favorite team.

Why RGIS?

Opportunities for pay increases after just 5 inventories
Supervisor and management opportunities
On-the-job paid training
Referral bonuses. If you want to earn an extra $500, refer five people after your hired and after they work ten live events, you get the $$$.
Employee Assistance Program (EAP)
Employee-paid health insurance available at group rates
Discounted prices at movie theaters, theme parks and more

What you bring to the Team:

At least 18 years of age; no experience needed
Access to reliable transportation
Strong work ethic with the ability to focus in a team-oriented and fast-paced environment
Ability to work flexible schedules with varying hours
Ability to, with or without reasonable accommodation, frequently squat, kneel, bend, climb ladders and reach, as well as stand for up to 10-12 hours

At RGIS, we value ethics, positive attitude, and safety in workplaces. We are passionate about our people, technology, and process because when you succeed, we succeed. Interested? Apply today!


RGIS is an Equal Opportunity Employer, committed to a diverse and inclusive work environment",https://www.indeed.com/viewjob?jk=a1e09a5832ccae2b
"The Barista is responsible for fulfilling orders and completing sales transactions within a Starbucks establishment and performing other support functions which may include cleaning the food preparation, customer seating or stock areas and maintaining inventory; performs all other responsibilities as directed by the business or as assigned by management. This is a non-exempt position and typically reports to the Store Manager.


Essential Functions:

Greets customers and takes food order; provides information about products and looks for opportunity to ""up-sell"" products
Prepares all drink orders to Starbucks and company standards
Operates a cash register and receives payment from customers in cash or credit card, accurately counts and provides change to customers as required, and follows all HMSHost customer service and cash handling policies and procedures
Educates and informs customers about the differences among coffee beans, coffee preparation and home brewing methods
Cleans and stocks customer area
Follows company and Starbucks operational policies and procedures, including those for safety and security, to ensure the safety of all partners during each shift
Maintains a calm demeanor during periods of high volume or unusual events to keep store operating to standard and to set a positive example for the shift team
Minimum Qualifications, Knowledge, Skills, and Work Environment:

Demonstrates the ability to interact with the public and coworkers in a friendly, enthusiastic and outgoing manner
Requires the ability to bend, twist, and stand to perform normal job functions
Requires the ability to speak, read and comprehend instructions, short correspondence and policy documents, as well as converse comfortably with customers
Requires the ability to learn and maintain knowledge of Starbuck's products and procedures
Some cash handling and customer service experience preferred
Equal Opportunity Employer (EOE)


Minority/Female/Disabled/Veteran (M/F/D/V)


Drug Free Workplace (DFW)


Requirements:


Schedule

Full time


Shift

Variable


Job Level

Hourly


Expertise

Food/Beverage Services


Job Type

Standard


Location

OH - Cleveland - Cleveland Airport",https://www.indeed.com/viewjob?jk=191bc77ca86b7f7c
"Models and delivers a distinctive and delightful customer experience. Registers sales on assigned cash register, provides customers with courteous, fair, friendly, and efficient checkout service. Customer Experience Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues and answers questions to ensure a positive customer experience.

Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively, identifying needs, servicing until satisfied, etc.). Operations Provides customers with courteous, friendly, fast, and efficient service. Recommends items for sale to customer and recommends trade-up and/or companion items. Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and exchanges as needed.

Keeps counters and shelves clean and well merchandised, takes inventory, and maintains records. Checks in and prices merchandise as required or as directed by store manager or communicated by the shift leader. Implements Company asset protection procedures to identify and minimize profit loss. Ensures compliance with state and local laws regarding regulated products (e.g., alcoholic beverages and tobacco products).

Constructs and maintains displays, including promotional, seasonal, super structures, and sale merchandise. Completes resets and revisions as directed. Assists with separation of food items (e.g., raw foods from pre-cooked) and product placement as specified by policies/procedures (e.g., raw and frozen meats on bottom shelves). For consumable items, assists in stock rotation, using the first in, first out method and restock outs.

Has working knowledge of store systems and store equipment. Provides customer service in the photo area, including digital passport photo service, poster print and creative machine, suggestive sell of promotional photo products. Assumes web pick-up responsibilities (monitors orders in Picture Care Plus, fills orders (pick items), delivers orders to customers as they arrive at store). Assists with exterior and interior maintenance by ensuring clean, neat, orderly store condition and appearance.

Complies with all company policies and procedures; maintains respectful relationships with coworkers. Completes special assignments and other tasks as assigned. Training & Personal Development Attends training and completes PPLs requested by Manager or assigned by corporate.",https://www.indeed.com/viewjob?jk=5063b2bd3c82c01f
